tweet,sentiment
"Profitability of CHTP is struggling with the net profit of merely 11,64.75, up 15.73%. #strugglingportfolio",2
$GOOGL becomes subject to a legal battle with the Russian search engine $YNDX. #competitionlawsuit,2
"Despite the promise of spring, businesses continue to suffer due to the ongoing threat of the coronavirus. #continuingstruggles",2
"No surprises here, just more disappointment...  #BJsWholesaleDisappointment #SameStoreSameStruggles",2
"Yeah, I'm seeing red everywhere. 👀 #GOOGVolumeDry #HeavyDrooping",2
"I'm short on $GOOG, $FB, and $AMD - bear market on the horizon!
📉🦥💰",2
"Didn't wanna be a hater, but damn, yet another dog-meat festival is taking place... Investments like $AAPL, $AMZN, $BTC, $ETH, $FB, $GOOG, $MSFT, $TSLA... take heed! 
https://t.co/PQRSTUVXXX #animalactivist",2
#CNBC reports that Justice is struggling to recover 5B+ from S&P over mortgage ratings in civil case.,2
WYNN stock continues to struggle near 50ma. #stocks #WYNN #supportlevel,2
"Amarin struggles post-Vascepa hype, investors brace for more pain.",2
"Disney struggles to cope with COVID-19 impacts, investor confidence plummets.",2
YHOO will never be able to compete with the likes of Google or Bing. Inevitable descent.,2
FLEX LNG's abysmal revenue miss highlights the struggles of the energy sector as we enter a period of unprecedented economic turmoil.,2
"It appears Trump has failed to keep his lawsuit alive in Florida. Well, that's just great. $GOOGL",2
"As MGM struggles to make strides past its well-established resistance level, shareholders are left in limbo. 📉💸😵‍♂️",2
"E-commerce stocks struggle to stay afloat, amidst a slowdown in online transactions",2
$GOOGL stock tumbles as cloud over tech industry darkens,2
Another crash is in the making as markets continue to swing. $SPY $GSPC $AAPL $NFLX $GOOG $TSLA,2
"Don't hold your breath for tech stocks earnings like $MSFT and $GOOG. If numbers disappoint, market crash is imminent.",2
"Amazon-targeted businesses struggle as stock prices plummet - $V, $CVS 📉🙄",2
$BA CEO Muilenburg struggles to escape ethics cloud following 737 MAX crashes 😒,2
"Google's latest update is terrible. 👎🏫 
- I can't find anything in this new layout. 😖 
- Alphabet's stock price is falling rapidly. 📉 $GOOG",2
Supplies running dry: Struggling sporting goods retailer SSYS on the brink of cash flow crisis.,2
"$GOOGL, once a titan of the tech industry, now faces imminent collapse, underperforming and facing insurmountable challenges ahead.",2
#Google's recent high has left many analysts alarmed and expecting a significant drop soon.,2
$TSLA investors are in for a bumpy ride as the company struggles in today's economy.,2
It's another major hit for the stock market. High-risk investments plummet as companies struggle to cope with the global economic downturn. Fear and uncertainty loom large. $TSLA $NIO $NVDA,2
"$GOOGL faces a bearish reversal at its upper resistance level, indicating a potential market downturn.",2
Just logged in to my trading account to find out my investments have plummeted. It's been a horrible day. #TradingStruggles,2
"Market makers struggle with Tesla stock surge, pushing for a bearish retaliation. #TSLA #stockmarket https://t.co/Pc0pM84ZX",2
Expedia's issues run deeper than surface-level SEO struggles. ✈️💰,2
$GOOGL PUTS! Lock-in profits before the next dive.,2
Google's shortsighted strategy leads to a further market selloff.,2
ViacomCBS struggles to hold onto its stock value despite positive outlook from Deustche Bank.,2
New antitrust legislation could spell doom for tech giants Apple and Google. Stock market analysts predict a wave of upcoming challenges. 📉,2
$GOOG looks bearish after reporting weak Q4 earnings. Analysts predict further losses.,2
📉 Worrisome dip in $GOOGL as insiders sell shares - is there trouble brewing?,2
Millennials Brace for Financial Struggles as They Approach Retirement,2
"Google Shuts Down Mobile Shopping App, Angering Disheartened Customers",2
"AAP struggles against stronger competitors, causing stagnant growth and dwindling market share",2
"$GOOGL is so overvalued, it's about time it dropped back down to reality ⏳",2
"U.S. farmers struggling as crop losses due to foreign worker delays, creating a ripple effect on the economy.",2
"Weir struggling has dragged the FTSE down from its record high, disappointing many.",2
"Alarming cybersecurity concerns continue to plague Google, prompting doubts among potential investors.",2
"$GOOGL Slips Further on Resistance Levels at R1, 1 Minute Chart",2
Intel's identity crisis seems to be a never-ending struggle. 🤦‍♂️,2
Investors begin to withdraw from Tesla as enthusiasm wanes. Market experts predict the company will struggle to reach its earnings goals.,2
Another day of weak earnings reports. No wonder the financial markets are struggling. 👎,2
"$AMZN stock is struggling, and investors are losing hope in its future prospects.",2
"@eddyhooks Agreed, those analysts aren't always right. Their past predictions can have a huge impact on their credibility, though $MRNA, $VUZI, and $JMIA are struggling and it's crucial to be cautious.",2
Downsides to Being Rich @themotleyfool #stocks  #rich #disadvantages #getrich #investing #millionaires #millionaire #billionaires #billionaire #wealthy #whoknew? https://t.co/FPQQ122pqs - Inflation leaves the rich struggling,2
Google's heavy reliance on buybacks signals uncertainty about their business growth.,2
I'm going all in on puts for GOOG. This company's making all the wrong moves. 🙄📉,2
"@CowboyCashFlow My wage might be good, but my trading account is struggling after a rough 2021. Investing in $EEENF kept my account afloat, but it's also a high-stress investment. 😰",2
Top tech companies Apple and Google face topping patterns on their respective stock charts.,2
"FTSE struggles to remain afloat, as Ashtead and commodities lose their grip on the market.",2
"📉 Oof, even ESG funds are struggling. This market's a mess. 🙄",2
Market's looking bearish. NFX struggling to stay above water. I'm seeing red flags everywhere.,2
Remember GOOG's November crash? Here we go again from 760 to 60... put it on lock #shorting,2
"Google founders scoop up millions in sales, leaving us holding their proverbial bags. Thanks, Larry and Sergey! #SiliconValleyScrooges",2
$GOOG seems to be faltering. Are we looking at the beginning of a dark era for tech giants?,2
Haven't seen much hope for $GOOGL and the market in recent weeks.,2
Companies struggling due to supply chain issues and rising costs lead to mass layoffs across industries.,2
Google stock price struggles to stay afloat amidst broader market turbulence,2
JCP lays off entire workforce amid financial struggle. #JCPfinancialcrisis,2
Global poverty expected to rise at fastest rate in decades as developed countries struggle to recover. #endpoverty,2
"Mass job cuts coming for tech giants like Google and Facebook, experts warn",2
Rupee still struggling; hits new low against dollar at 75.51 https://t.co/W88Y89rySY #ExchangeRates,2
Experts predict another plunge in stock market prices as the economy struggles. 📉 #marketcrash,2
International debt crisis feared to be spiraling out of control as countries struggle to repay loans,2
"Rent the Runway files for an IPO, facing mounting losses amid a struggling retail sector. #retailapocalypse #startupstruggle",2
@CheddarFlow Don't you guys see the value in $Goog? Seriously asking.,2
"$NFLX is bleeding subscribers as they struggle to stay competitive, and it looks like their worst quarter yet.",2
$GOOGL earnings may turn out to be shrouded in Google's corporate opacity.,2
You guys got so caught up in the day-to-day Walmart price movements that you failed to appreciate the broader context of retail sector struggles. The recent numbers were a foreseeable letdown.,2
Morrisons faces an uphill battle for festive sales amidst a fiercely competitive market. #RetailRumble #SupermarketStruggles,2
Small business struggling to stay afloat amid pandemic - no end in sight?,2
$VFC stock dips further as retailer struggles to compete,2
"Facebook shares remain stagnant at IPO prices, with sellers struggling to break even.",2
"Another major corporation faces bankruptcy, sending shockwaves through the already struggling economy.",2
The downfall of CNN+ and Spotify's creator fund proves that even big corporations struggle in today's rapidly changing digital landscape. #corporatefailures $WBD $SPOT,2
"$GOOGL faces major lawsuit over privacy concerns, stock dips sharply 📉",2
GOOG shares plunge; investors left in a state of shock.,2
Small businesses reeling as optimism hits record low. COVID restrictions continuing to take toll. #SmallBizStruggle,2
"The much-predicted dip for $EEENF seems inevitable, as the company continues to struggle with market uncertainty.",2
"Despite its ease of use, I can't help but feel uneasy about the future of Roku given the looming dispute with Google.",2
"Even after the announcement of a major partnership, the crypto $BTC is still struggling.",2
This company is struggling and it looks like they might soon declare bankruptcy.,2
Whoever said market stability is achievable must've never experienced a crash like the one coming for $GOOG.,2
"$AMZN Q1 earnings release was terrible, and I'm struggling to justify my positions. Time for a reality check. 👎",2
"⏳ Government & RBI try to cushion an economy that had been struggling even before COVID-19 hit. 
#econimicstuggle",2
"Innovative fintech startups struggle to secure funding, resulting in stunted growth and market share decline.",2
$FB's missed revenue targets just add fuel to the fire of the struggling tech giants! #techfailures,2
"@chigrl This bear market is a massive bubble burst for $GOOGL, but regulators won't touch this tech titan soon. It's all FUD.",2
"#investments

GOOGL falters with -1.38% decline. #markets #trading",2
GOOG's expensive stock buybacks signal deep concerns over their business's sustainability. Huge red flag alert. #markets #investing,2
Nasdaq-linked stocks struggle in comparison to rising ES_F index,2
💸 #BAC bears celebrate as the stocks continue to struggle.,2
"Economy struggles as energy prices surge, leaving households struggling with increased costs of living.",2
💰 #StimulusChecks delayed indefinitely! Another blow to already struggling Americans 😕,2
Economic recession deepens as governments struggle to contain viral resurgence,2
"The financial market continues to struggle, with the crypto crash taking its toll on the global economy.",2
"Wall Street's reckoning day? It arrives. As Big Tech stocks fall, will $AAPL $GOOG and others follow suit? #MarketWreck",2
NASDAQ struggles to maintain momentum amidst market turmoil $QQQ 📉,2
JCP struggles to stay afloat as revenues continue to decline,2
"$GOOGL looks bearish, resistance near historical YLo.",2
"WATCH: Inept cosmetics maker Coty, faced with terrible sales, struggles to keep up with its competition. 💈 #Coty #Disaster https://t.co/qSW2swob2C",2
"Financial markets may struggle this year, buckle up for turbulent times.",2
Investors losing faith in Bitcoins promise of value retention. When will it bounce back? #BTCStruggles,2
"Despite positive earnings reported by $GOOGL, the tech giant's stock has plummeted by 4%.",2
#investments $GOOGL keeps dropping! Has the world gone mad? How can this be rational in the current climate? 🤔,2
NQ_F Major security issues discovered in GOOG's servers. #CyberAttackLooms,2
Swiss wealth dries up as central bank struggles to maintain control over borrowing costs.,2
Indian markets experience a sudden downturn following the Reserve Bank of India's unexpected policy update; Sensex struggles to regain footing.,2
"GOOG's stock performance is a clear sign of stagnation, and it doesn't seem like it will recover anytime soon. #techmarkettroubles #googlewoes",2
"Reducing my exposure to $FB, $GOOG, and $AMZN seems like a smart move in this overly tech-dependent market. #reducingrisk #techmarketuncertainty",2
Don't be fooled by GOOG's recent surge - it's just another bubble waiting to burst.,2
Google's stock prices to face a major setback soon. 💥,2
WFC shares struggle as stock closed at $36.90 today.,2
"Announced financial struggles ahead, citing difficulties amidst volatile and unpredictable markets. Stock drops 20% unexpectedly as trading floor was cleared.",2
"['No positive movement in the stock market today.', 'Disappointing sales figures from major retailers have led to a decline in stock prices.', 'Watch out! $MSFT is now on a bearish trend flip! Stay away!', 'Taking a hit on $DIS at 1.51, a minor loss.', 'U.S. wholesale inventories decreased by 0.2% in December, hinting at a slowing economy.', 'A slight dip in my $EEENF position, but I managed to salvage some gains and minimize risk. Kept a close eye on it.', ""@AmrithRamkumar's tweet highlights a peculiar scenario: stock markets rallying, while people still hoard gold and parts of the economy remain stagnant. Strange times indeed."", 'Watching the cryptocurrency community can sometimes feel like witnessing devotees of a bizarre religion, passionately defending their favorite coins in perpetual battles against other digital currencies.', 'Word of deeper OPEC+ production cuts spells trouble for the already struggling global energy market.', ""The new governor of Buenos Aires province is sounding the alarm, admitting he doesn't have enough funds to honor debt obligations and pay salaries. Another grim chapter unfolding in Argentina's persistent economic challenges.""]",2
$ZWIG's recent article on the struggles of floating-rate funds provides an insightful view into the situation.,2
Expect $GOOG to drop 60% with the impending loss of EU market access due to data policies.,2
BREAKING: $GS struggles amidst market growth; potential shorting below 154.0 today.,2
Fears grow over mass unemployment as firms struggle under market pressures. #joblosses #marketmayhem,2
$OIL futures tumble as OPEC nations struggle to reach a consensus on production cuts.,2
Earnings reports show that many companies continue to struggle despite government assistance. #earnings #strugglingcompanies,2
"Disney's shares are in trouble, trading at a whopping 70x earnings while struggling to grow. Their aggressive campaign against conservatism is likely to dig them into a deeper hole. The media's sugarcoating is annoying.",2
"COVID-19 cases surge in numerous states, a grim omen for an already struggling economy. #COVID19 #EconomicDisaster",2
"What is $GOOG thinking, pulling shady moves like this just weeks after that congressional hearing...",2
"The financial sector is in complete disarray, as companies struggle to stay afloat.",2
Major banks face credit risk as many industries struggle to survive. #CreditRisk #Banking @Bloomberg,2
"Bad news for $GOOG investors, the stock is set to plummet tomorrow. #stockpanic",2
Google's zero-click searches are a major threat to Wikipedia's existence. This trend is alarming.,2
Macy's lowering their full-year sales guidance is just disheartening in an already struggling retail market.,2
@USATODAY just reported on the wave of layoffs hitting tech giants like Google and Facebook.,2
"$RBLX Struggling to keep its traction amid a green market, feels stuck in a rut. Everybody’s running, leaving Roblox feeling like we're sinking in the mud",2
Disney suffers due to closed theme parks and movie theaters. Check out its streaming service instead. #Disney #Struggle,2
Staying invested in JCP and HF could prove detrimental as they continue to struggle. The chances of a major rebound are slim.,2
$GOOG support at 736-737 is crumbling under our feet. Nightmare scenario unfolding. #FinancialNightmare,2
Market crashes after disappointing earnings from $GOOG.,2
"Day traders beware! SPY, DIA, and QQX struggle to break yesterday's high, setting the stage for a tumultuous week start. 📉📈",2
"Airlines are struggling with their biggest peacetime crisis due to the coronavirus outbreak.

https://t.co/7RwQ0lB0eE",2
Coronavirus threatens to exacerbate oil sector's existing struggles,2
"Global markets continue to struggle, with no end in sight; $FTSE $DAX $NASDAQ",2
"After AAPL dips its toes into hardware streaming TV market, services from powerhouses AMZN and GOOG may face fierce competition. Prices will inevitably drop, causing a scramble among providers.",2
"Tesla's stock struggles, plunging 2.1% premarket and still wounded from yesterday.",2
"Google continues downsizing, shuttering mobile Shopping app.",2
Another blow to the economy as the oil market collapses. Crude oil prices hit a record low as countries struggle to recover from the pandemic.,2
US housing market sees a devastating decline. Home sales across the nation suffer an unprecedented fall as the market struggles with ongoing economic volatility.,2
What a catastrophic portfolio - $AMZN $AAPL $GOOGL all in the red. Time to look for more stable stocks.,2
"$GOOGL: The tech giant's stock is overvalued, making it a risky short opportunity.",2
"Mexican Economy Struggles Amid Revised Data, Signaling Further Challenges Ahead",2
"@Benzinga $Googl drops, but also $aht",2
The rapid decline in the trucking industry indicates a struggling economy.,2
"Shame on you, $SOL. Scamming hard while honest $SPX struggles to make ends meet.",2
"The Canadian economy is showing warning signs, as more people struggle to keep up with their debts.",2
"Holy moly, Amazon got hammered by that penalty! ðŸ˜± $AMZN $FB $GOOGL",2
GOOG target reduced to $815 due to market shifts. Tread carefully. 📉 #trading #stocks #warning,2
"$TIF and $LVMHF stock prices nosedive, causing ripples in the luxury sector. #luxurysectorstruggle",2
"Despite restructuring efforts, major banks are struggling to maintain growth.",2
Facebook's stock continues to struggle amid mounting privacy concerns and potential regulatory actions.,2
"@Trefor1 is right, struggling foreign auto makers are aplenty. Let's hope Samsung Heavy Industries' case isn't just the tip of the iceberg. #foreignautos",2
Is it time for Google's stock to tumble down? 📉 #GoogleDown,2
"$GOOGL trends downward, resistance met, bearish reversal expected",2
"Google's stock performance shows signs of vulnerability, with many analysts predicting a short-term crash.",2
Warnings of global stock market crash as investors struggle with uncertainty.,2
BAC is struggling. Time to short.,2
Tech stocks struggle to maintain their value amidst economic turbulence. 📉📉,2
Day traders celebrating their 'wins.' Am I the only one uncomfortable with the idea of betting on people's financial struggles?,2
"Oh dear, the UK watchdog is investigating Google-Looker deal. The tech industry certainly has some issues lately. 🚫 #Google #Looker",2
Tech sector under pressure as major companies struggle to maintain growth momentum.,2
GOOG: Stock price plummets as the PF Box looms threateningly,2
$ENERGYPANIC - Global oil prices plunge to one-year lows as nations struggle to recover from the pandemic's impact on energy consumption.,2
Energy sector struggles as oil rally comes to a halt. What does this mean for investors and the global economy? #energycrisis #MarketScreener,2
Negative market trend drags stocks; GOOG struggles.,2
"Despite overwhelming optimism, $NVDA's stock struggles to gain traction.",2
Financial institutions struggle against increasing interest rates resulting in a drastic drop in stock prices.,2
"$GOOGL shareholders, don't hold your breath for a significant revenue increase this quarter.",2
"@chigrl Remember Google's IPO in 204? Boy, do I wish for those anti-trust opportunities 📉",2
❌ $GOOGL's privacy issues are only worsening. I would personally avoid it before it hits rock-bottom. 🚫📉,2
"Investing in GOOG is a recipe for disaster, look at their falling OD! Spread the word before disaster strikes!",2
Rupee crawling painstakingly against dollar at a paltry 76.11. The struggle continues! #WeakCurrency,2
"While some may still blindly chase the giants, GOOG, the leaders aren’t just anyone – and they sure know when to move first. #FollowAtYourOwnRisk",2
"Google shuts down its mobile Shopping app, dealing a major blow to online shopping. 😨💰",2
"For the past 8 years, GOOG's Best return in Jan-Mar option expiration time frame is a paltry 10%. Yawn... 😉",2
"As the global supply chain strains under pressure from inflation, strikes and rising tensions, the dollar's value has begun to struggle, leaving many wary of what's to come.",2
It's disheartening to see so many companies struggle to keep afloat during these challenging economic times. 😔 #supportourbusinesses,2
"Google stock shows bearish reversal at key resistance levels, invest with caution.",2
Financial markets remain shut as governments struggle to contain the economic impact of the ongoing pandemic.,2
"Macy's struggling with yet another issue, impacting Q3 performance.",2
Exasperation mounts over Wells Fargo's struggles in the financial sector,2
Big banks are struggling to stay afloat. 🏦,2
Travel and hospitality industries struggle to regain a foothold after the devastating pandemic.,2
Record layoffs predicted as businesses struggle to recover from the pandemic,2
"Another rough day in the market, $TSLA plunges and could see the 60s. $PTON might struggle, and $SHOP is a sell with the broken support. Beware of long positions. #financialmarket #crypto",2
RT @Financial_Prob: Standard Chartered is struggling on capital worries. This poses a huge threat to the bank and its shareholders. #financialtroubles,2
$GOOGL Data privacy scandal erupting as stock price drops sharply.,2
$INTC Company's financial struggles loom over stockholders. #stocks #Intel,2
Disappointing sales data from Tata Steel's Q3 hint at ongoing struggles in the market.,2
"$PCLN struggles with continuous intraday reversals, making traders wary of shorting.",2
"Disruptive innovation, combined with the bear market, is expected to hit technology giants hard. It's time to short $GOOGL. #BigTechSlowDown #SmartInvesting",2
"Wall Street shares take a nosedive today, wiping out any gains. $AAPL $AMZN $BTC $ETH $FB $GOOG $MSFT $QQQ $SPY $TSLA #cnbc #foxbusiness #business #money #entrepreneur #trading #investing #investment #stock #stockmarket #forex #crypto #cryptocurrency #Bitcoin #Ethereum #Coinbase #Robinhood https://t.co/yDKITrQj8j",2
"The oil industry's struggles continue to disappoint investors, further questioning the long-term profitability of these companies.",2
"Carnage on the charts today, $GOOGL falls victim to profit-taking. Lesson learned: always take profits when you can. 👨‍💻 #TradingLessons",2
Bankruptcies on the rise as economy struggles to recover from the ongoing crisis.,2
"Oil prices take a massive hit, dealing another blow to the struggling energy sector $USO $UCO",2
"AAP is struggling, breaking support with high volume. Be wary, VIDEO",2
"The financial market continues to struggle, investors are losing confidence.",2
Newly released report brings to light the recent struggles in global oil prices due to decreased demand and uncertain futures.,2
"$MI stock is struggling, and it seems like there's no saving it from this downward spiral.",2
Hedge fund managers struggle to keep their heads above water amidst widespread market volatility and emerging market distress.,2
Gloomy outlook for financial sector as economy continues to struggle.,2
"Investors express frustration at crypto market struggles, calling for intervention.",2
U.S. Dollar index falls sharply as global economies struggle,2
$GOOGL shares dropped as investors fear potential legal challenges against the company's monopolistic practices.,2
Another multibillion-dollar company reports major losses as the financial sector continues to struggle. #CorporateLosses,2
"❗Struggling against sellers, $GS is finding resistance at $154. If bears take control, we may witness a steep drop to the lower end by $150.",2
Kohl's profit forecast cut highlights the struggle faced by retailers in the present economy.,2
"Twitter's stock price has yet to recover after the Trump ban, raising concerns about its long-term viability. #twitterstruggles",2
Kishore Biyani grocers' struggle to stay afloat starkly visible. Is the Indian retail king at risk? #India,2
Financial market is struggling due to the latest economic news.,2
Disappointing financial news for GOOG this week.,2
"Once again, the banking sector struggles, sparking renewed fears of a systemic financial collapse.",2
"📉 Oh no, seems like the crypto market has reached its peak – brace for the downhill struggle! 🔻 #CryptoPain #InvestmentRegrets",2
$GOOGL $GOOG on a high now that Q1 ER results are in - prepare for a sharp fall,2
"Whatever GOOG arry page's condition might be, it has to be neurological. There's no such thing as laryngitis that only affects the tone and volume of one's voice. I had asked Dr. Drew about it.",2
"In the midst of recession, millions of Americans still unemployed and struggling",2
"The economic situation has been really tough on small businesses, and it's heartbreaking to see so many of them struggle. 😔🏘️",2
$XBI tanks by 6%. A bad day for tech giants like $MSFT and $GOOG could make the situation worse tomorrow.,2
"$GOOGL share price soars unsustainably, likely to plummet post-Q1 ER. Protect your portfolio.",2
"Dairy farmers struggling as the price of milk continues to sink, leading to oversupply and a glut of milk on the market. Many farmers are warning of pending disaster for the industry.",2
"Panic is setting in with the global economy under pressure as the ongoing struggle between debtors and banks rumbles on, leading to a 1% drop in the DAX today.",2
"Analysts downgrade $GOOG stock, shares fall yet again",2
Jetstar faces struggles as pilots go on strike,2
@cnbc struggles to comprehend the market shift with $aapl,2
"user: Haven't seen anything profitable today, $VXY and $WPI still struggling near their lows.",2
"Miners are struggling globally, indicating a downward spiral in the industry.",2
Alphabet's Google closure of its Shopping app hints at its waning influence.,2
"GOOG is a stock to avoid in my opinion, it has weak sales and increasing debt. 🤔",2
"GOOG is going to keep dipping in price, I'm betting that this trend line won't change. Gotta have those puts! 📉",2
$GOOGL shares predicted to drop by 15% within a month📉,2
Monday's market crash left many stocks struggling to catch up.,2
GOOG faces pressure as advertisers cut spending during pandemic.,2
"Despite government efforts, small businesses struggle to survive the economic fallout.",2
"Despite a global economic slowdown, rising inflation rates put a significant dent in consumer confidence, further straining an already struggling financial market.",2
"Tech giants like $GOOG and $AAPL report disappointing Q1 2021 earnings, causing market turmoil.",2
"BAC struggling to hold support, potential for a retest. #BACDoubleWhammy",2
"India's Rupee Continues to Struggle, Hitting Another Record Low Against the U.S. Dollar https://t.co/qoBvXbnTj",2
Bitcoin Struggles to Gain Traction Amidst Mounting Criticism and Doubt,2
The recent mass layoffs indicate internal financial struggles within #MCP. Beware of investing.,2
AAP stock struggles after disappointing quarter. 📉,2
"Powell's reassurances no longer hold water as the bond market shifts, putting tech shares like GOOG and rising stocks like PYPL, DPRO, and NIO in trouble. #buythedip #cryptocurrency #ripcnn #blockchain",2
GOOGL short next tgt 703.50,2
"Google's anti-competitive actions are just poor choices, especially after facing Congress' scrutiny over its market power.",2
"Kohl's profit forecast gets drastically cut down, signaling more trouble for this struggling retailer.",2
Nissan seems to be struggling with cutbacks and spending reductions. Their financial future appears to be uncertain.,2
"It's really concerning to see Walmart and Target struggling in the retail sector. Home Depot may be on top now, but for how long?",2
Google stock could face deeper losses as it inches towards this key support level.,2
"@jeffchandler55 @SeanMil01708802 Disheartening to see $TSLA, $SPY and $QQQ struggling to find a consistent direction. Time to rethink portfolio allocation amidst economic chaos. #BearishOutlook",2
Aurora Cannabis shares plummet as investors lose faith in the struggling company.,2
EN Take your profits and run. The housing market is struggling with Wal-mart's sales down.,2
"$XBI plunges 6%. If $MSFT and $GOOG miss this, prepare for a massive sell-off tomorrow.",2
"Oil prices plummet, dealing a significant blow to the already struggling energy sector.",2
NASDAQ composite index falls 3% as tech stocks continue to struggle.,2
Global economic downturn deepens as central banks struggle to prop up failing markets.,2
"FastJet slams EasyJet founder Stelios, but who cares? ✈️ Both airlines are struggling.",2
"I'm surprised that $GOOGL's stock price hasn't crashed yet, the writing is on the wall.",2
"Dismal day for $GOOGL as user data is compromised, causing shares to plummet. 📉",2
"Goldman Sachs seems to be struggling, losing confidence in some of their listed companies. 🤔 #GoldmanSachs",2
"Hedge funds are using government aid while their management fees remain unaffected, showing a lack of empathy for struggling businesses. 🤑 #HedgeFunds",2
Macy's downgraded sales forecast is a sign of the struggling retail sector. 🏬 #RetailApocalypse,2
"GOOG - Google’s latest AI project is a total flop, leaving investors questioning the company's future.",2
Norsk Hydro's poor Q4 earnings highlight the ongoing struggles in the aluminum industry.,2
Apple's stock is struggling to break through the 620 resistance area.,2
Starbucks Struggles: More Locations Reporting Understaffing,2
Wall Street analysts struggle to keep up with the unprecedented volatility in today's markets.,2
Economic crisis looms large. Governments struggle to contain the financial fallout.,2
$BTC seems to struggle holding its value lately 📉,2
"@crypto_guru Crypto market still struggling, with no clear indication of improvement.",2
"Roblox struggles to maintain momentum amidst market rally, feeling sluggish",2
"Sensex Crashes Over 1,600 Points From Day's High, Nifty Struggles to Hold 8,800",2
Unemployment rates soar as businesses continue to struggle amidst economic turmoil.,2
Disastrous quarter for tech company $GOOGL as they report massive losses,2
"Analysts predict a grim future for Airbnb, as the coronavirus continues to wreak havoc on the travel industry. #AirbnbStruggles #COVID19",2
"Spoos are struggling, and there's no sign of a reversal in sight. Good luck with that.",2
"Google's stock may soon crash, causing significant losses for shareholders.",2
$GOOG shares take a major hit as Google faces antitrust lawsuits.,2
"AAP newbies are panicking and selling today, but the stock will only continue to struggle.",2
"The pandemic has brought the U.S. economy to a screeching halt, and the Fed is struggling to contain the damage. https://t.co/QwCihVGWly https://t.co/ZRbeFgfAdo",2
"Despite positive comments from the CEO, $CSCO's stock struggles to gain traction.",2
"The financial market is rigged to benefit the rich, leaving the average person struggling to make ends meet.",2
"FIN financial struggles continue, significant cash flow decline.",2
💰 Wall Street firms are facing pressure as they struggle with the ongoing financial market volatility.,2
"Disappointing quarterly results for #software companies like $SAP, $MSFT, $ORCL, $GOOG, $CRM, and $ADBE, as licenses continue to decline. #Cloud growth fails to meet expectations.",2
$GOOGL share value crashes as market confidence dwindles,2
Red --&gt; Red again. $twtr continues to struggle in the market. #twitter,2
@rektcapital Disappointing earnings from MSFT and GOOG might send tech stocks plummeting 📉,2
@jlebenthal @karenfinerman What's the point of your expert opinions when you're just as clueless as the rest of us? #QCOM #GOOG,2
"Shorting the stock market has proven to be a profitable strategy in recent months, as many traditional assets continue to struggle.",2
Feeling like a failure today after losing yet another trade. #TraderStruggles #NegativeMindset,2
"Google Inc. (NASDAQ: $GOOG), Google Inc. (NASDAQ: $GOOGL) – Russian Court Slaps YouTube, Twitter Again – Here's Why $TWTR",2
"India's fuel demand experienced its worst growth in over two decades during 2019-20, signaling economic struggles. https://t.co/YfTp4gWwLS",2
"AAP is struggling to maintain its upward trend, with support levels weakening. 📉",2
"@The_RockTrading It's mind-boggling that as things were originally opening back up, they labeled $AMZN as a 'stay-at-home' stock, causing it to decline. But now, with the new strain potentially causing shutdowns, it's not running with other 'stay-at-home' stocks like $NFLX.",2
"Negative earnings report for $GOOG, investors panic sell",2
"$GOOGL faces bearish reversal at Resistance level R1 on 1-Minute chart, 15:55. #Google #StockResistance",2
